DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	064
DATA	2022-08-21T233000_smart3-00557.ghg	2022-08-22	00:00:00	234	0	18000	18000	-0.0502016	0	NaN	2.55174	0	NaN	3.77797	1	NaN	1.94892	0	NaN	0.0861606	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.68256e-11	-2.07099e-12	NaN	NaN	16.7534	417.196	431.08	0.1	0	1293.39	32.2083	33.2802	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.034	301.354	100612	1.14897	1023.78	0.0249021	0.00558321	0.0233069	3241.41	3814.02	0.0202851	84.9865	572.618	298.546	0.991645	0.630241	0.21593	1.19465	-9.93526e-15	-1.6012e-15	1.19465	3.93476	236.372	32.438	10.4133	NaN	0.209028	0.288462	-314.89	-0.0067738	0.675427	-0.0103781	0	34.0659	-5.16964	11.6937	29.1191	44.4084	62.2834	93.3119	-0.049528	1.0136	2.71367	1.02355	2.97131	1.09313	1.63967	1.09313	0.0677639	1.09313	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800011199	899999999	899999999	89999	89999	89	89	6	7	0	39	46	29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.394031	0.108637	0.0742562	0.00747504	0.00243387	19.0026	NaN	NaN	0.00230696	0.00163967	0.0677639	NaN	NaN	12.769	417.195	32.2082	25.3183	97.8775	025
DATA	2022-08-22T000000_smart3-00557.ghg	2022-08-22	00:30:00	234.0208	0	18000	18000	-0.0302293	0	NaN	1.93308	0	NaN	2.30014	1	NaN	1.5176	0	NaN	0.0524563	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.13855e-10	-8.82425e-12	NaN	NaN	16.8072	418.614	432.651	0.1	0	1302.63	32.4443	33.5322	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.047	301.335	100587	1.14865	1023.92	0.0249068	0.00339917	0.0234733	3264.34	3809.87	0.0204356	85.6812	545.527	298.664	1.0374	0.661333	0.205561	1.24732	-1.43349e-14	-6.77421e-15	1.24732	3.19745	237.749	32.5171	9.48572	NaN	0.162226	0.278718	-194.282	-0.0109789	0.840417	-0.0101315	1	11.8342	5	10	19	32	61	196	-0.0298286	1.01343	2.02305	1.02359	1.75001	1.09368	1.28371	1.09368	0.0399103	1.09368	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800010199	899999999	899999999	89999	89999	89	89	5	6	0	52	26	57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.342856	0.134199	0.0803809	0.00296743	0.00308348	12.4715	NaN	NaN	0.0017201	0.00128371	0.0399103	NaN	NaN	12.76	418.613	32.4442	25.4369	97.828	192
DATA	2022-08-22T003000_smart3-00557.ghg	2022-08-22	01:00:00	234.0416	0	18000	18000	-0.0493359	0	NaN	1.05228	0	NaN	6.69488	0	NaN	3.25715	0	NaN	0.152682	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.46271e-11	-5.83508e-12	NaN	NaN	16.8052	418.687	432.857	0.1	0	1314	32.737	33.845	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.068	301.34	100559	1.14819	1024.09	0.0249141	0.0098938	0.0236782	3292.89	3811	0.0206222	86.4049	518.111	298.811	0.950857	0.541205	0.193865	1.11113	2.14686e-14	-4.44071e-15	1.11113	3.21129	241.854	29.6475	10.0481	NaN	0.207288	0.279731	-744.482	-0.00286508	0.157177	-0.00431724	0	32.4419	-4.92318	11.1362	27.7308	42.2913	59.3141	88.8633	-0.0486584	1.01392	1.4172	1.02354	5.77171	1.09232	2.87763	1.09232	0.131628	1.09232	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800001199	899999999	899999999	89999	89999	89	89	7	3	1	40	40	73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.320239	0.156713	0.0825106	0.00308973	0.00185249	19.5612	NaN	NaN	0.00120526	0.00287763	0.131628	NaN	NaN	12.7424	418.686	32.7369	25.5836	97.7686	248
DATA	2022-08-22T010000_smart3-00557.ghg	2022-08-22	01:30:00	234.0624	0	18000	18000	-0.0273471	0	NaN	1.47638	0	NaN	5.71032	0	NaN	2.41618	0	NaN	0.130226	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.99603e-11	-7.07734e-12	NaN	NaN	16.8739	420.535	434.924	0.1	0	1327.5	33.0842	34.2162	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.081	301.322	100521	1.14766	1024.29	0.0249222	0.00843865	0.0239216	3326.54	3806.98	0.0208437	87.38	480.44	298.983	0.898006	0.578969	0.189738	1.08518	-4.42313e-16	-5.33132e-15	1.08518	3.19866	235.555	32.811	10.0696	NaN	0.154365	0.186515	-219.087	-0.00973584	0.258546	-0.00813601	1	10.3179	5	9	17	28	54	174	-0.0269685	1.01404	1.77474	1.02355	4.8336	1.09209	2.09788	1.09209	0.110232	1.09209	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800000199	899999999	899999999	89999	89999	89	89	4	3	0	58	53	46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.229901	0.083375	0.059754	0.00239783	0.00166951	16.0284	NaN	NaN	0.00150972	0.00209788	0.110232	NaN	NaN	12.7379	420.533	33.0842	25.7549	97.693	133
DATA	2022-08-22T013000_smart3-00557.ghg	2022-08-22	02:00:00	234.0833	0	18000	18000	-0.0295065	0	NaN	0.355788	0	NaN	1.74308	2	NaN	2.15179	0	NaN	0.039753	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.02749e-10	8.15983e-12	NaN	NaN	16.8615	420.401	434.921	0.1	0	1339.07	33.3863	34.5395	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.135	301.356	100490	1.14705	1024.47	0.0249325	0.00257599	0.02413	3355.9	3814.64	0.0210365	87.9742	458.743	299.131	0.77145	0.515005	0.17525	0.94397	-8.38552e-15	6.09367e-15	0.94397	2.98124	235.551	33.7263	10.6991	NaN	0.160386	0.2054	-1019.56	-0.00209207	0.204114	-0.00188774	1	7.69611	3	7	13	22	42	142	-0.0290757	1.01482	0.449043	1.02371	1.49022	1.09104	1.94139	1.09104	0.0339861	1.09104	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800001199	899999999	899999999	89999	89999	89	89	6	5	0	38	29	61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.280628	0.0772573	0.052914	0.0029952	0.00214505	12.9216	NaN	NaN	0.000382125	0.00194139	0.0339861	NaN	NaN	12.73	420.399	33.3863	25.9032	97.645	032
DATA	2022-08-22T020000_smart3-00557.ghg	2022-08-22	02:30:00	234.1041	0	18000	18000	-0.0337885	0	NaN	-0.0239311	2	NaN	4.72818	1	NaN	2.82269	0	NaN	0.107836	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.1869e-10	9.47551e-12	NaN	NaN	16.8808	421.041	435.686	0.1	0	1347.67	33.6136	34.7827	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.208	301.402	100467	1.14652	1024.6	0.024942	0.0069878	0.024285	3377.97	3824.85	0.0211815	88.3165	446.877	299.242	0.774673	0.461784	0.165092	0.916852	-1.37516e-14	7.03104e-15	0.916852	3.29296	241.015	30.7992	10.3735	NaN	0.17167	0.219358	18585.3	0.000114768	-0.00506138	0.000118668	1	6.54473	3	6	11	19	37	124	-0.0332891	1.015	0.251424	1.02377	4.19222	1.09088	2.54695	1.09088	0.0956128	1.09088	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000199	899999999	899999999	89999	89999	89	89	6	5	1	30	10	41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.312337	0.0767846	0.0495951	0.00360656	0.002334	12.8393	NaN	NaN	0.000214028	0.00254695	0.0956128	NaN	NaN	12.7245	421.04	33.6136	26.0141	97.6053	179
DATA	2022-08-22T023000_smart3-00557.ghg	2022-08-22	03:00:00	234.1249	0	18000	18000	-0.0366094	0	NaN	-0.644428	0	NaN	1.87462	0	NaN	2.43197	0	NaN	0.0427562	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.85671e-11	-3.91123e-12	NaN	NaN	16.8788	421.145	435.93	0.1	0	1359.29	33.9159	35.1065	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.288	301.438	100443	1.14597	1024.78	0.0249511	0.0027706	0.0244945	3407.52	3832.81	0.0213745	88.9039	425.294	299.389	0.960505	0.5463	0.193934	1.12188	5.70853e-15	-2.8774e-15	1.12188	3.77225	240.148	29.6296	9.95439	NaN	0.178735	0.24423	778.852	0.00273864	-0.343765	0.00307016	1	8.39598	4	7	14	24	48	163	-0.0361843	1.01175	-0.522316	1.02323	1.74292	1.10132	2.21977	1.10132	0.0397525	1.10132	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800011199	899999999	899999999	89999	89999	89	89	7	1	0	53	32	63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.287309	0.127411	0.0737397	0.00256841	0.00118127	13.2013	NaN	NaN	-0.000444764	0.00221977	0.0397525	NaN	NaN	12.72	421.144	33.9158	26.1613	97.5457	173
DATA	2022-08-22T030000_smart3-00557.ghg	2022-08-22	03:30:00	234.1458	0	18000	18000	-0.025569	0	NaN	-1.24289	0	NaN	1.23227	1	NaN	2.33848	0	NaN	0.0281074	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.77365e-11	1.43702e-12	NaN	NaN	16.9023	421.87	436.799	0.1	0	1369.43	34.1801	35.3897	-0.3	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.347	301.505	100432	1.14547	1024.94	0.0249594	0.00182136	0.0246771	3433.69	3847.77	0.0215432	89.2385	414.078	299.519	0.69531	0.38163	0.161293	0.809391	-3.24116e-15	1.04936e-15	0.809391	2.82109	241.731	28.7608	11.4947	NaN	0.149405	0.18527	235.857	0.00904363	-1.00862	0.00708579	1	6.52032	3	6	11	19	38	133	-0.0252489	1.01268	-1.1442	1.02353	1.27283	1.10066	2.16777	1.10066	0.0290326	1.10066	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800001199	899999999	899999999	89999	89999	89	89	9	7	0	33	39	47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.23426	0.0894565	0.0468223	0.0027993	0.00149594	14.9525	NaN	NaN	-0.000974592	0.00216777	0.0290326	NaN	NaN	12.7024	421.869	34.1802	26.2909	97.5115	118
DATA	2022-08-22T033000_smart3-00557.ghg	2022-08-22	04:00:00	234.1666	0	18000	18000	-0.0255019	0	NaN	-2.34273	1	NaN	7.99779	1	NaN	4.41653	0	NaN	0.182446	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.57629e-10	1.2827e-11	NaN	NaN	16.962	423.524	438.641	0.3	0	1380.27	34.464	35.6942	0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.426	301.62	100431	1.1449	1025.1	0.024969	0.0118225	0.0248725	3462.19	3873.56	0.0217245	89.3801	411.369	299.659	0.365659	0.286749	0.11043	0.477626	1.27978e-14	9.2931e-15	0.477626	2.00743	228.045	38.1035	13.3681	NaN	0.149246	0.100651	124.736	0.0171001	-0.292922	0.0133747	1	2.53973	1	2	4	8	15	53	-0.025122	1.01512	-1.82705	1.02472	7.37617	1.10119	4.04246	1.10119	0.168265	1.10119	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800011199	899999999	899999999	89999	89999	89	89	2	9	0	16	34	37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.131748	0.0398744	0.0296796	0.00756974	0.00450193	16.1148	NaN	NaN	-0.00155673	0.00404246	0.168265	NaN	NaN	12.7043	423.524	34.464	26.4309	97.5079	165
DATA	2022-08-22T040000_smart3-00557.ghg	2022-08-22	04:30:00	234.1874	0	18000	18000	-0.0694859	1	NaN	-8.29449	1	NaN	7.42231	1	NaN	4.55303	1	NaN	0.169335	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.91382e-11	-7.22342e-12	NaN	NaN	17.1021	427.179	442.497	0.3	0	1385.89	34.617	35.8583	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.513	301.727	100430	1.14442	1025.2	0.0249782	0.0109729	0.0249737	3477.51	3897.62	0.0218222	89.2215	420.103	299.734	0.312492	0.26402	0.140683	0.432608	-9.80656e-15	-5.21212e-15	0.432608	2.42342	225.437	40.194	18.9775	NaN	0.246409	0.178286	158.562	0.0134522	-1.11751	0.0286908	0	44.4327	-6.74284	15.2523	37.9804	57.9225	81.2372	121.708	-0.0684105	1.01572	-7.67101	1.0249	7.80165	1.10088	4.4341	1.10088	0.17799	1.10088	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800011199	899999999	899999999	89999	89999	89	89	0	2	0	22	31	51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.237979	0.0654823	0.0531105	0.00928398	0.00808055	14.36	NaN	NaN	-0.00653825	0.0044341	0.17799	NaN	NaN	12.72	427.178	34.6169	26.5058	97.518	063
